syn	length	gc
ENSG00000124207.17	CSE1L	1401	0.388
ENSG00000124214.19	STAU1	1085	0.524
ENSG00000124228.14	DDX27	3639	0.498
ENSG00000124201.15	ZNFX1	2122	0.502
ENSG00000177410.13	ZFAS1	2880	0.491
ENSG00000158445.10	KCNB1	5331	0.473
ENSG00000283529.1	AL035685.1	1688	0.522
ENSG00000124212.6	PTGIS	1343	0.592
ENSG00000197818.12	SLC9A8	4942	0.565
ENSG00000158480.11	SPATA2	4138	0.515
ENSG00000124226.11	RNF114	2006	0.458
ENSG00000244687.12	UBE2V1	639	0.505
ENSG00000240849.11	TMEM189	1973	0.544
ENSG00000237595.5	LINC01275	981	0.528
ENSG00000234698.1	AL161937.1	425	0.384
ENSG00000231742.6	LINC01273	1002	0.564
ENSG00000224397.7	PELATON	4584	0.544
ENSG00000203999.9	LINC01270	3047	0.518
ENSG00000196396.10	PTPN1	3979	0.492
ENSG00000042062.13	RIPOR3	2698	0.605
ENSG00000234693.1	RIPOR3-AS1	638	0.522
ENSG00000124171.9	PARD6B	522	0.502
ENSG00000124243.17	BCAS4	1498	0.549
ENSG00000101126.18	ADNP	6631	0.452
ENSG00000259456.4	ADNP-AS1	1023	0.427
ENSG00000000419.13	DPM1	789	0.366
ENSG00000026559.14	KCNG1	3722	0.544
ENSG00000101096.20	NFATC2	2662	0.599
ENSG00000054793.14	ATP9A	470	0.498
ENSG00000101115.13	SALL4	782	0.533
ENSG00000020256.20	ZFP64	710	0.532
ENSG00000234948.2	LINC01524	4390	0.424
ENSG00000232294.6	AL031674.1	1766	0.431
ENSG00000182463.16	TSHZ2	670	0.413
ENSG00000171940.13	ZNF217	746	0.441
ENSG00000225563.2	AC006076.1	1003	0.476
ENSG00000064787.13	BCAS1	882	0.502
ENSG00000019186.10	CYP24A1	694	0.45
ENSG00000101132.10	PFDN4	762	0.462
ENSG00000101134.12	DOK5	742	0.524
ENSG00000235166.8	LINC01440	1926	0.441
ENSG00000286006.2	AL109828.1	1673	0.39
ENSG00000124098.10	FAM210B	614	0.552
ENSG00000087586.17	AURKA	584	0.517
ENSG00000101138.12	CSTF1	1233	0.456
ENSG00000087589.16	CASS4	2871	0.492
ENSG00000022277.13	RTF2	2193	0.447
ENSG00000124091.9	GCNT7	1355	0.431
ENSG00000124103.10	FAM209A	666	0.512
ENSG00000225657.2	LINC01716	698	0.516
ENSG00000087510.7	TFAP2C	482	0.737
ENSG00000203266.3	AL157414.1	1375	0.459
ENSG00000101144.13	BMP7	890	0.6
ENSG00000226308.1	AL122058.1	1166	0.554
ENSG00000054796.13	SPO11	1133	0.327
ENSG00000101146.13	RAE1	3251	0.484
ENSG00000218018.3	RBM38-AS1	1540	0.594
ENSG00000132819.17	RBM38	760	0.625
ENSG00000124092.12	CTCFL	1628	0.477
ENSG00000124253.11	PCK1	5074	0.487
ENSG00000124256.15	ZBP1	1737	0.546
ENSG00000124225.16	PMEPA1	361	0.579
ENSG00000278709.2	NKILA	537	0.629
ENSG00000203971.2	AL354984.1	2266	0.492
ENSG00000225708.6	AL354984.2	744	0.511
ENSG00000124224.17	PPP4R1L	5559	0.443
ENSG00000124209.4	RAB22A	1032	0.587
ENSG00000124164.16	VAPB	3583	0.429
ENSG00000198768.11	APCDD1L	802	0.666
ENSG00000231290.6	APCDD1L-DT	2630	0.5
ENSG00000124222.22	STX16	855	0.532
ENSG00000254995.4	STX16-NPEPL1	3433	0.575
ENSG00000215440.12	NPEPL1	2061	0.601
ENSG00000235590.7	GNAS-AS1	548	0.58
ENSG00000087460.26	GNAS	1567	0.495
ENSG00000225806.8	AL121917.1	872	0.471
ENSG00000101158.15	NELFCD	1701	0.516
ENSG00000101160.14	CTSZ	647	0.589
ENSG00000124172.10	ATP5F1E	1878	0.383
ENSG00000101166.16	PRELID3B	704	0.412
ENSG00000124203.6	ZNF831	10953	0.526
ENSG00000124205.18	EDN3	2861	0.516
ENSG00000087495.17	PHACTR3	2408	0.34
ENSG00000238194.2	PHACTR3-AS1	2244	0.508
ENSG00000196074.13	SYCP2	729	0.307
ENSG00000196227.11	FAM217B	419	0.437
ENSG00000124215.17	CDH26	1429	0.471
ENSG00000176659.9	C20orf197	2732	0.384
ENSG00000228340.6	MIR646HG	4119	0.443
ENSG00000276627.3	AL117372.1	2016	0.495
ENSG00000229606.2	LINC01718	890	0.493
ENSG00000179242.16	CDH4	3117	0.6
ENSG00000277270.2	AL160412.1	3083	0.498
ENSG00000225106.1	AL162457.2	937	0.577
ENSG00000130699.18	TAF4	2487	0.544
ENSG00000149657.20	LSM14B	1239	0.578
ENSG00000101182.15	PSMA7	773	0.498
ENSG00000184402.15	SS18L1	456	0.603
ENSG00000101181.17	MTG2	973	0.501
ENSG00000101180.16	HRH3	900	0.73
ENSG00000130703.17	OSBPL2	4670	0.507
ENSG00000130706.13	ADRM1	735	0.671
ENSG00000130702.15	LAMA5	894	0.55
ENSG00000228812.7	LAMA5-AS1	690	0.655
ENSG00000171858.18	RPS21	1002	0.561
ENSG00000149679.11	CABLES2	775	0.586
ENSG00000233017.3	AL121832.1	677	0.588
ENSG00000174403.16	MIR1-1HG-AS1	2330	0.621
ENSG00000174407.13	MIR1-1HG	426	0.563
ENSG00000273812.3	BX640514.2	1609	0.443
ENSG00000101187.16	SLCO4A1	856	0.555
ENSG00000232803.1	SLCO4A1-AS1	1420	0.596
ENSG00000101188.5	NTSR1	2950	0.619
ENSG00000228705.2	LINC00659	1326	0.584
ENSG00000060491.16	OGFR	553	0.568
ENSG00000092758.18	COL9A3	2497	0.674
ENSG00000101190.13	TCFL5	2453	0.571
ENSG00000101191.17	DIDO1	2383	0.521
ENSG00000101193.8	GID8	326	0.595
ENSG00000101194.18	SLC17A9	1624	0.602
ENSG00000125533.6	BHLHE23	1057	0.742
ENSG00000272259.5	LINC01749	3408	0.607
ENSG00000125514.9	LINC00029	633	0.575
ENSG00000231133.8	HAR1B	3323	0.561
ENSG00000149658.18	YTHDF1	747	0.523
ENSG00000101197.13	BIRC7	593	0.664
ENSG00000101198.15	NKAIN4	663	0.652
ENSG00000101199.13	ARFGAP1	1162	0.645
ENSG00000101203.16	COL20A1	750	0.673
ENSG00000101204.18	CHRNA4	2192	0.652
ENSG00000203900.2	AL121827.1	3264	0.624
ENSG00000075043.18	KCNQ2	2983	0.641
ENSG00000101210.13	EEF1A2	3996	0.648
ENSG00000125534.10	PPDPF	627	0.687
ENSG00000101213.7	PTK6	2953	0.576
ENSG00000125531.7	FNDC11	2954	0.655
ENSG00000130589.16	HELZ2	8064	0.672
ENSG00000101216.11	GMEB2	4280	0.61
ENSG00000232442.1	MHENCR	801	0.559
ENSG00000197457.10	STMN3	970	0.658
ENSG00000258366.9	RTEL1	669	0.583
ENSG00000026036.22	RTEL1-TNFRSF6B	5843	0.653
ENSG00000101246.20	ARFRP1	5178	0.608
ENSG00000197114.12	ZGPAT	749	0.623
ENSG00000273154.3	AL121845.3	872	0.688
ENSG00000203896.10	LIME1	2410	0.685
ENSG00000273047.1	AL121845.2	446	0.675
ENSG00000125520.14	SLC2A4RG	991	0.63
ENSG00000130584.12	ZBTB46	2239	0.636
ENSG00000229299.2	AL121845.1	464	0.547
ENSG00000101150.18	TPD52L2	4053	0.553
ENSG00000101152.11	DNAJC5	5287	0.577
ENSG00000198276.16	UCKL1	1530	0.606
ENSG00000130590.14	SAMD10	801	0.624
ENSG00000196421.8	C20orf204	2954	0.657
ENSG00000171703.17	TCEA2	941	0.599
ENSG00000171700.14	RGS19	813	0.708
ENSG00000125510.18	OPRL1	3131	0.608
ENSG00000171695.10	LKAAEAR1	761	0.753
ENSG00000196132.14	MYT1	5758	0.541
ENSG00000203880.12	PCMTD2	1321	0.475
ENSG00000149656.8	LINC00266-1	629	0.452
ENSG00000277117.5	FP565260.3	2238	0.613
ENSG00000280071.4	GATD3B	544	0.539
ENSG00000275464.5	FP565260.1	4564	0.601
ENSG00000280433.1	FP565260.6	3898	0.498
ENSG00000279094.3	LINC01670	936	0.363
ENSG00000274333.4	CU633967.1	7628	0.388
ENSG00000280191.3	LINC01669	713	0.593
ENSG00000280179.1	CU639417.5	3241	0.625
ENSG00000275993.3	SIK1B	471	0.552
ENSG00000275496.4	CU633906.1	2195	0.369
ENSG00000278903.3	CU633906.2	1468	0.392
ENSG00000274276.4	CBSL	774	0.594
ENSG00000275895.7	U2AF1L5	4715	0.438
ENSG00000276076.4	CRYAA2	743	0.615
ENSG00000280145.3	CU638689.4	5990	0.407
ENSG00000278878.1	CU638689.1	897	0.355
ENSG00000280018.4	CU634019.5	936	0.363
ENSG00000277067.4	CU634019.1	2195	0.369
ENSG00000276077.4	CU633904.1	2195	0.369
ENSG00000277991.4	FP236241.1	7632	0.388
ENSG00000273590.4	SMIM11B	1021	0.549
ENSG00000278961.2	SMIM34B	1455	0.458
ENSG00000276289.4	KCNE1B	811	0.536
ENSG00000280441.3	FP236383.3	2498	0.55
ENSG00000279579.3	LINC01666	241	0.589
ENSG00000188681.11	TEKT4P2	1312	0.624
ENSG00000278932.4	CR381653.1	618	0.437
ENSG00000279864.2	NCOR1P4	925	0.477
ENSG00000280081.4	LINC01667	1548	0.506
ENSG00000279321.1	AC018692.1	697	0.396
ENSG00000270533.2	CR382285.1	1485	0.456
ENSG00000277693.2	AP003900.1	1818	0.435
ENSG00000187172.15	BAGE2	2598	0.439
ENSG00000274391.4	TPTE	1874	0.387
ENSG00000224309.7	ANKRD30BP2	1354	0.349
ENSG00000228159.2	LINC01674	1095	0.417
ENSG00000166351.10	POTED	1988	0.473
ENSG00000228314.1	CYP4F29P	1279	0.507
ENSG00000215559.8	ANKRD20A11P	920	0.421
ENSG00000224905.7	AP001347.1	553	0.533
ENSG00000188992.11	LIPI	421	0.382
ENSG00000185272.14	RBM11	1597	0.36
ENSG00000243064.8	ABCC13	3842	0.412
ENSG00000155304.6	HSPA13	620	0.479
ENSG00000155307.19	SAMSN1	2744	0.377
ENSG00000232884.9	AF127936.1	2193	0.387
ENSG00000281903.2	LINC02246	599	0.295
ENSG00000180530.11	NRIP1	720	0.421
ENSG00000229425.3	AJ009632.2	4401	0.336
ENSG00000155313.15	USP25	2605	0.357
ENSG00000215386.13	MIR99AHG	5889	0.387
ENSG00000270071.3	AP001172.1	1245	0.362
ENSG00000232560.7	LINC01549	219	0.457
ENSG00000154639.19	CXADR	1445	0.388
ENSG00000154640.15	BTG3	718	0.389
ENSG00000280594.1	BTG3-AS1	2341	0.596
ENSG00000240770.5	C21orf91-OT1	497	0.423
ENSG00000154642.11	C21orf91	744	0.409
ENSG00000244676.5	AL109761.1	383	0.423
ENSG00000154645.14	CHODL	1974	0.385
ENSG00000154646.9	TMPRSS15	754	0.406
ENSG00000224141.6	MIR548XHG	1401	0.417
ENSG00000233480.2	LINC01683	1054	0.428
ENSG00000224924.7	LINC00320	5052	0.394
ENSG00000154654.15	NCAM2	583	0.403
ENSG00000233997.5	LINC01425	760	0.463
ENSG00000233215.6	LINC01687	1448	0.39
ENSG00000184856.7	LINC00308	630	0.425
ENSG00000226043.2	AP000561.1	1482	0.394
ENSG00000228592.2	D21S2088E	3229	0.375
ENSG00000226996.5	AP000477.1	847	0.418
ENSG00000224018.2	AP000470.1	1089	0.355
ENSG00000224832.2	LINC01689	2007	0.371
ENSG00000237484.6	LINC01684	2176	0.372
ENSG00000226983.3	LINC01692	2719	0.374
ENSG00000230379.5	AP000146.1	309	0.337
ENSG00000232512.6	AP000233.2	684	0.447
ENSG00000222042.2	AP001341.1	863	0.484
ENSG00000213885.4	RPL13AP7	1441	0.486
ENSG00000185433.10	LINC00158	1490	0.366
ENSG00000229962.2	AP000221.1	1306	0.407
ENSG00000234883.6	MIR155HG	1600	0.378
ENSG00000154719.14	MRPL39	900	0.434
ENSG00000154721.15	JAM2	946	0.414
ENSG00000154723.12	ATP5PF	876	0.392
ENSG00000154727.10	GABPA	780	0.465
ENSG00000142192.21	APP	816	0.411
ENSG00000233783.8	AP001442.1	1573	0.415
ENSG00000273492.6	AP000229.1	2419	0.423
ENSG00000232692.1	AP001596.1	1078	0.43
ENSG00000197934.8	CYYR1-AS1	3412	0.388
ENSG00000166265.13	CYYR1	3099	0.417
ENSG00000154734.15	ADAMTS1	4718	0.412
ENSG00000154736.6	ADAMTS5	3593	0.444
ENSG00000236332.2	AP001604.1	954	0.417
ENSG00000234052.2	LINC01673	1295	0.388
ENSG00000225298.5	LINC00113	572	0.428
ENSG00000232079.7	LINC01697	1122	0.414
ENSG00000236532.6	LINC01695	1000	0.46
ENSG00000232855.7	AF165147.1	2702	0.437
ENSG00000226935.6	LINC00161	514	0.391
ENSG00000156239.12	N6AMT1	1293	0.481
ENSG00000198862.14	LTN1	1753	0.421
ENSG00000156253.7	RWDD2B	1787	0.422
ENSG00000156256.15	USP16	2259	0.412
ENSG00000156261.13	CCT8	968	0.407
ENSG00000156265.16	MAP3K7CL	835	0.432
ENSG00000215533.8	LINC00189	989	0.433
ENSG00000156273.16	BACH1	1073	0.421
ENSG00000232118.2	BACH1-AS1	700	0.466
ENSG00000228817.4	BACH1-IT2	691	0.421
ENSG00000171189.17	GRIK1	1775	0.519
ENSG00000174680.10	GRIK1-AS1	4210	0.41
ENSG00000156299.13	TIAM1	4160	0.46
ENSG00000142168.15	SOD1	1746	0.537
ENSG00000156304.15	SCAF4	2976	0.442
ENSG00000142149.9	HUNK	860	0.564
ENSG00000230323.6	LINC00159	1225	0.416
ENSG00000159055.4	MIS18A	368	0.391
ENSG00000170262.12	MRAP	884	0.535
ENSG00000142207.7	URB1	551	0.528
ENSG00000265590.10	CFAP298-TCP10L	7312	0.455
ENSG00000166979.13	EVA1C	936	0.5
ENSG00000242220.9	TCP10L	3141	0.518
ENSG00000159079.19	CFAP298	1872	0.472
ENSG00000159082.18	SYNJ1	7085	0.419
ENSG00000238197.6	PAXBP1-AS1	5211	0.443
ENSG00000159086.15	PAXBP1	2277	0.352
ENSG00000205930.10	C21orf62-AS1	5020	0.371
ENSG00000205929.11	C21orf62	1009	0.498
ENSG00000205927.5	OLIG2	575	0.635
ENSG00000184221.13	OLIG1	400	0.522
ENSG00000226527.2	AP000289.1	2264	0.476
ENSG00000226433.2	AP000290.1	884	0.494
ENSG00000229086.5	LINC01548	454	0.548
ENSG00000159110.20	IFNAR2	726	0.453
ENSG00000249624.9	AP000295.1	3770	0.478
ENSG00000243646.10	IL10RB	2132	0.398
ENSG00000142166.13	IFNAR1	1962	0.394
ENSG00000159128.15	IFNGR2	727	0.503
ENSG00000142188.17	TMEM50B	619	0.422
ENSG00000177692.12	DNAJC28	1480	0.421
ENSG00000159131.17	GART	922	0.39
ENSG00000159140.21	SON	1151	0.441
ENSG00000159147.18	DONSON	786	0.364
ENSG00000205758.12	CRYZL1	1018	0.37
ENSG00000205726.15	ITSN1	1108	0.517
ENSG00000241837.7	ATP5PO	816	0.471
ENSG00000237945.7	LINC00649	2261	0.494
ENSG00000243927.6	MRPS6	1956	0.446
ENSG00000227456.9	LINC00310	892	0.454
ENSG00000205670.12	SMIM11A	5529	0.457
ENSG00000180509.12	KCNE1	3222	0.505
ENSG00000159200.18	RCAN1	2276	0.441
ENSG00000159212.12	CLIC6	3806	0.548
ENSG00000230978.2	LINC00160	979	0.481
ENSG00000234380.2	LINC01426	2632	0.462
ENSG00000159216.19	RUNX1	5971	0.462
ENSG00000185917.14	SETD4	795	0.479
ENSG00000230212.6	AP000688.1	159	0.459
ENSG00000159228.13	CBR1	1024	0.567
ENSG00000236830.7	CBR3-AS1	4651	0.478
ENSG00000142197.12	DOP1B	2178	0.491
ENSG00000159256.13	MORC3	750	0.421
ENSG00000159259.8	CHAF1B	1152	0.481
ENSG00000233818.1	AP000695.2	715	0.421
ENSG00000159261.12	CLDN14	1453	0.584
ENSG00000159263.16	SIM2	3377	0.59
ENSG00000159267.15	HLCS	8243	0.447
ENSG00000224790.3	AP000704.2	2540	0.495
ENSG00000183145.9	RIPPLY3	1885	0.461
ENSG00000185808.13	PIGP	803	0.595
ENSG00000182670.13	TTC3	999	0.509
ENSG00000230366.9	DSCR9	1644	0.572
ENSG00000157538.14	VPS26C	5648	0.49
ENSG00000157540.22	DYRK1A	17562	0.422
ENSG00000157542.11	KCNJ6	3219	0.444
ENSG00000184029.9	DSCR4	799	0.431
ENSG00000198054.12	DSCR8	403	0.417
ENSG00000157551.19	KCNJ15	766	0.441
ENSG00000270835.2	AP001425.1	1940	0.429
ENSG00000231231.5	LINC01423	423	0.48
ENSG00000157554.19	ERG	1626	0.411
ENSG00000223806.8	LINC00114	1516	0.485
ENSG00000157557.13	ETS2	3788	0.482
ENSG00000205622.11	AP001042.1	3169	0.409
ENSG00000235888.3	AF064858.1	5629	0.486
ENSG00000183527.12	PSMG1	760	0.453
ENSG00000185658.13	BRWD1	1756	0.413
ENSG00000205581.11	HMGN1	1621	0.41
ENSG00000182093.16	GET1	3147	0.455
ENSG00000285815.1	GET1-SH3BGR	1925	0.474
ENSG00000157578.13	LCA5L	972	0.408
ENSG00000185437.13	SH3BGR	512	0.389
ENSG00000183778.17	B3GALT5	658	0.506
ENSG00000184809.13	B3GALT5-AS1	4202	0.481
ENSG00000231713.2	AF064860.2	1542	0.473
ENSG00000183067.5	IGSF5	1062	0.514
ENSG00000183036.11	PCP4	587	0.429
ENSG00000171587.15	DSCAM	5374	0.526
ENSG00000235123.5	DSCAM-AS1	1282	0.416
ENSG00000233756.5	DSCAM-IT1	720	0.46
ENSG00000226496.3	LINC00323	2213	0.496
ENSG00000182240.16	BACE2	229	0.541
ENSG00000280109.3	PLAC4	10009	0.462
ENSG00000183844.17	FAM3B	1052	0.431
ENSG00000183486.13	MX2	4064	0.488
ENSG00000157601.14	MX1	3202	0.541
ENSG00000184012.12	TMPRSS2	633	0.52
ENSG00000286027.1	PCSEAT	2413	0.528
ENSG00000236384.7	LINC00479	718	0.588
ENSG00000232401.2	LINC00112	1235	0.561
ENSG00000183421.12	RIPK4	4016	0.585
ENSG00000141956.14	PRDM15	703	0.592
ENSG00000157617.17	C2CD2	761	0.526
ENSG00000173276.14	ZBTB21	607	0.433
ENSG00000237232.9	ZNF295-AS1	2109	0.679
ENSG00000177398.18	UMODL1	1082	0.555
ENSG00000160179.19	ABCG1	3475	0.537
ENSG00000160180.15	TFF3	1109	0.549
ENSG00000160181.9	TFF2	631	0.559
ENSG00000160183.17	TMPRSS3	2544	0.531
ENSG00000160185.15	UBASH3A	2754	0.548
ENSG00000160188.10	RSPH1	2880	0.491
ENSG00000160190.14	SLC37A1	1603	0.462
ENSG00000231867.1	AP001625.1	450	0.489
ENSG00000160191.18	PDE9A	365	0.466
ENSG00000160193.12	WDR4	901	0.636
ENSG00000160194.18	NDUFV3	2029	0.522
ENSG00000233056.2	ERVH48-1	2790	0.492
ENSG00000160199.15	PKNOX1	1725	0.419
ENSG00000160200.18	CBS	1515	0.59
ENSG00000160201.12	U2AF1	3973	0.419
ENSG00000160202.7	CRYAA	1128	0.626
ENSG00000142178.9	SIK1	570	0.542
ENSG00000188660.4	LINC00319	3507	0.625
ENSG00000185186.10	LINC00313	1342	0.556
ENSG00000160207.9	HSF2BP	989	0.535
ENSG00000160208.13	RRP1B	4634	0.499
ENSG00000160209.19	PDXK	7194	0.57
ENSG00000160213.9	CSTB	2354	0.525
ENSG00000160214.13	RRP1	2544	0.604
ENSG00000215458.8	AATBC	4598	0.614
ENSG00000160216.21	AGPAT3	2199	0.584
ENSG00000160218.13	TRAPPC10	3909	0.497
ENSG00000241945.8	PWP2	4564	0.6
ENSG00000160221.18	GATD3A	2265	0.562
ENSG00000225331.1	LINC01678	863	0.628
ENSG00000232124.3	AP001057.1	1513	0.475
ENSG00000160223.17	ICOSLG	1267	0.532
ENSG00000142182.9	DNMT3L	1014	0.606
ENSG00000160224.17	AIRE	4306	0.624
ENSG00000141959.17	PFKL	951	0.633
ENSG00000241728.5	AP001062.3	619	0.628
ENSG00000160226.16	CFAP410	4532	0.65
ENSG00000142185.16	TRPM2	1669	0.636
ENSG00000230061.2	TRPM2-AS	2056	0.553
ENSG00000175894.18	TSPEAR	2790	0.602
ENSG00000235890.2	TSPEAR-AS1	374	0.639
ENSG00000182912.6	TSPEAR-AS2	345	0.574
ENSG00000205445.3	KRTAP10-2	1149	0.662
ENSG00000215454.6	KRTAP10-4	597	0.675
ENSG00000221837.6	KRTAP10-9	615	0.67
ENSG00000189169.7	KRTAP10-12	282	0.656
ENSG00000184787.19	UBE2G2	4340	0.466
ENSG00000184900.16	SUMO3	1736	0.476
ENSG00000183255.12	PTTG1IP	398	0.595
ENSG00000160255.18	ITGB2	2807	0.595
ENSG00000227039.6	ITGB2-AS1	482	0.568
ENSG00000183250.12	LINC01547	4434	0.549
ENSG00000160256.13	FAM207A	643	0.664
ENSG00000234880.1	LINC00163	2155	0.631
ENSG00000235374.2	SSR4P1	967	0.636
ENSG00000197381.16	ADARB1	736	0.53
ENSG00000182586.9	LINC00334	1442	0.563
ENSG00000186866.16	POFUT2	795	0.558
ENSG00000223768.2	LINC00205	4397	0.536
ENSG00000228355.1	BX322559.1	319	0.492
ENSG00000182871.16	COL18A1	5408	0.672
ENSG00000183535.9	COL18A1-AS1	2341	0.607
ENSG00000173638.19	SLC19A1	2154	0.621
ENSG00000233922.3	LINC01694	1473	0.437
ENSG00000183570.16	PCBP3	1086	0.575
ENSG00000142156.15	COL6A1	3251	0.651
ENSG00000142173.16	COL6A2	777	0.607
ENSG00000160282.14	FTCD	1834	0.658
ENSG00000160284.15	SPATC1L	2304	0.666
ENSG00000160285.15	LSS	3601	0.567
ENSG00000223901.2	AP001469.1	695	0.527
ENSG00000215424.10	MCM3AP-AS1	3213	0.504
ENSG00000160294.11	MCM3AP	6333	0.532
ENSG00000239415.1	AP001469.3	2014	0.456
ENSG00000182362.14	YBEY	1402	0.522
ENSG00000160298.18	C21orf58	2178	0.602
ENSG00000160299.17	PCNT	796	0.494
ENSG00000160305.18	DIP2A	6946	0.544
ENSG00000160307.10	S100B	839	0.49
ENSG00000160310.18	PRMT2	4031	0.48
ENSG00000286406.1	AC138776.1	3183	0.362
ENSG00000130538.5	OR11H1	948	0.43
ENSG00000198062.15	POTEH	1964	0.442
ENSG00000225255.6	PSLNR	519	0.499
ENSG00000206195.11	DUXAP8	2754	0.384
ENSG00000232775.6	BMS1P22	552	0.565
ENSG00000239435.2	KCNMB3P1	307	0.417
ENSG00000100181.22	TPTEP1	1602	0.405
ENSG00000283633.1	AP000547.3	2523	0.488
ENSG00000189295.13	ANKRD62P1-PARP4P3	603	0.365
ENSG00000235343.2	LINC01665	1386	0.395
ENSG00000229027.3	HSFY1P1	1381	0.369
ENSG00000215568.9	GAB4	2698	0.554
ENSG00000237438.7	CECR7	2283	0.481
ENSG00000177663.14	IL17RA	8506	0.549
ENSG00000183307.4	TMEM121B	3961	0.556
ENSG00000235478.5	LINC01664	1481	0.541
ENSG00000069998.12	HDHD5	1591	0.566
ENSG00000185837.3	HDHD5-AS1	616	0.615
ENSG00000093072.18	ADA2	3149	0.546
ENSG00000099954.18	CECR2	9645	0.495
ENSG00000182902.14	SLC25A18	2454	0.577
ENSG00000236754.5	AC007666.1	507	0.598
ENSG00000131100.13	ATP6V1E1	832	0.454
ENSG00000099968.18	BCL2L13	2677	0.495
ENSG00000015475.19	BID	330	0.545
ENSG00000243156.9	MICAL3	9535	0.585
ENSG00000225335.3	AC016027.1	1699	0.56
ENSG00000215193.13	PEX26	815	0.623
ENSG00000183785.15	TUBA8	1700	0.56
ENSG00000274044.5	FAM230J	727	0.502
ENSG00000277870.5	FAM230A	3186	0.489
ENSG00000277017.1	AC023490.2	820	0.37
ENSG00000278558.5	TMEM191B	788	0.685
ENSG00000274602.5	PI4KAP1	2139	0.562
ENSG00000182824.7	FAM230E	1559	0.405
ENSG00000197421.10	GGT3P	368	0.552
ENSG00000161103.11	AC008132.1	359	0.585
ENSG00000183628.14	DGCR6	1837	0.525
ENSG00000100033.16	PRODH	4739	0.588
ENSG00000284294.1	AC007326.5	1382	0.483
ENSG00000273032.3	DGCR5	5074	0.487
ENSG00000070413.20	DGCR2	2459	0.612
ENSG00000100056.12	ESS2	2101	0.611
ENSG00000100075.10	SLC25A1	804	0.687
ENSG00000070371.16	CLTCL1	838	0.519
ENSG00000100084.14	HIRA	453	0.547
ENSG00000242259.8	C22orf39	1977	0.547
ENSG00000185608.8	MRPL40	942	0.511
ENSG00000070010.19	UFD1	3059	0.473
ENSG00000093009.11	CDC45	1519	0.518
ENSG00000184113.9	CLDN5	2548	0.642
ENSG00000184702.20	SEPTIN5	2353	0.675
ENSG00000284874.1	AC000093.1	4113	0.669
ENSG00000184058.14	TBX1	2003	0.701
ENSG00000185838.14	GNB1L	854	0.676
ENSG00000215012.9	RTL10	6785	0.543
ENSG00000184470.21	TXNRD2	1086	0.614
ENSG00000093010.14	COMT	724	0.555
ENSG00000099889.14	ARVCF	2871	0.661
ENSG00000183597.16	TANGO2	414	0.587
ENSG00000236540.7	AC006547.1	828	0.565
ENSG00000128191.16	DGCR8	4129	0.544
ENSG00000099899.15	TRMT2A	1060	0.652
ENSG00000099901.17	RANBP1	2177	0.559
ENSG00000099904.16	ZDHHC8	909	0.653
ENSG00000234409.7	CCDC188	628	0.643
ENSG00000236499.2	LINC00896	2128	0.611
ENSG00000040608.14	RTN4R	1973	0.658
ENSG00000128185.10	DGCR6L	935	0.643
ENSG00000188280.11	FAM230G	1870	0.458
ENSG00000161133.16	USP41	182	0.484
ENSG00000185252.19	ZNF74	3879	0.563
ENSG00000244486.9	SCARF2	3248	0.716
ENSG00000099910.17	KLHL22	824	0.617
ENSG00000099917.17	MED15	4701	0.617
ENSG00000223553.6	SMPD4P1	2108	0.498
ENSG00000217261.4	POM121L4P	1891	0.604
ENSG00000226287.8	TMEM191A	1067	0.672
ENSG00000241973.11	PI4KA	782	0.587
ENSG00000099937.11	SERPIND1	1798	0.499
ENSG00000099940.12	SNAP29	972	0.539
ENSG00000099942.13	CRKL	2037	0.542
ENSG00000183773.15	AIFM3	2850	0.591
ENSG00000099949.21	LZTR1	4213	0.615
ENSG00000184436.12	THAP7	1957	0.61
ENSG00000230513.2	THAP7-AS1	2298	0.55
ENSG00000161149.12	TUBA3FP	1974	0.565
ENSG00000099957.16	P2RX6	769	0.623
ENSG00000099960.13	SLC7A4	416	0.639
ENSG00000206145.8	P2RX6P	357	0.571
ENSG00000187905.10	LRRC74B	3223	0.538
ENSG00000169668.11	BCRP2	3035	0.536
ENSG00000215498.9	FAM230B	1856	0.464
ENSG00000283972.1	AP000550.4	358	0.573
ENSG00000133475.17	GGT2	2366	0.609
ENSG00000206142.9	FAM230H	576	0.441
ENSG00000279920.2	LINC01651	566	0.535
ENSG00000169635.10	HIC2	6940	0.592
ENSG00000206140.11	TMEM191C	574	0.385
ENSG00000183506.17	PI4KAP2	1906	0.605
ENSG00000183246.6	RIMBP3C	5784	0.633
ENSG00000185651.15	UBE2L3	3451	0.535
ENSG00000161179.14	YDJC	1494	0.677
ENSG00000161180.11	CCDC116	572	0.636
ENSG00000128228.5	SDF2L1	601	0.669
ENSG00000100023.19	PPIL2	3875	0.536
ENSG00000100027.16	YPEL1	1319	0.544
ENSG00000100030.15	MAPK1	951	0.487
ENSG00000100034.14	PPM1F	3157	0.492
ENSG00000224086.6	PPM1F-AS1	2256	0.574
ENSG00000100038.20	TOP3B	2890	0.612
ENSG00000197549.9	PRAMENP	1445	0.56
ENSG00000211642.3	IGLV10-54	351	0.553
ENSG00000169575.5	VPREB1	626	0.588
ENSG00000275004.4	ZNF280B	3714	0.406
ENSG00000185686.18	PRAME	740	0.562
ENSG00000183169.6	POM121L1P	1934	0.605
ENSG00000100121.13	GGTLC2	538	0.6
