Geneid	syn	length	gc
ENST00000382329.1	ENSG00000107099.16	DOCK8	6124	0.474
ENST00000585631.1	ENSG00000227155.7	AL161725.1	1295	0.443
ENST00000674102.1	ENSG00000107104.20	KANK1	5348	0.501
ENST00000598100.11	ENSG00000235330.2	RPL12P25	674	0.458
ENST00000654035.1	ENSG00000226403.2	AL392089.1	1047	0.496
ENST00000608097.1	ENSG00000227914.3	AL136979.1	343	0.475
ENST00000564322.11	ENSG00000137090.12	DMRT1	1761	0.554
ENST00000417254.1	ENSG00000064218.5	DMRT3	497	0.481
ENST00000635183.11	ENSG00000173253.15	DMRT2	2190	0.582
ENST00000637806.1	ENSG00000080503.24	SMARCA2	7061	0.429
ENST00000671040.1	ENSG00000236404.10	VLDLR-AS1	4519	0.46
ENST00000478776.1	ENSG00000147852.16	VLDLR	510	0.433
ENST00000469168.1	ENSG00000080608.10	PUM3	456	0.39
ENST00000515723.1	ENSG00000227835.8	CARM1P1	492	0.467
ENST00000663825.11	ENSG00000236511.2	LINC01231	2930	0.476
ENST00000458034.1	ENSG00000080298.15	RFX3	814	0.451
ENST00000457566.1	ENSG00000232104.3	RFX3-AS1	496	0.401
ENST00000659166.11	ENSG00000237359.2	AL354977.2	941	0.368
ENST00000645252.1	ENSG00000107249.23	GLIS3	1824	0.508
ENST00000422398.1	ENSG00000106688.12	SLC1A1	726	0.474
ENST00000497383.1	ENSG00000106686.16	SPATA6L	566	0.544
ENST00000607997.1	ENSG00000273061.1	CDC37L1-DT	463	0.454
ENST00000479095.1	ENSG00000106993.12	CDC37L1	784	0.458
ENST00000611749.4	ENSG00000147853.17	AK3	4029	0.387
ENST00000663238.1	ENSG00000287759.1	AL353151.2	1568	0.475
ENST00000445485.1	ENSG00000120158.12	RCL1	1878	0.492
ENST00000636127.11	ENSG00000096968.14	JAK2	2615	0.426
ENST00000649639.11	ENSG00000120210.8	INSL6	1221	0.437
ENST00000416837.1	ENSG00000107014.9	RLN2	733	0.386
ENST00000223862.21	ENSG00000107018.8	RLN1	1009	0.411
ENST00000473877.1	ENSG00000107020.10	PLGRKT	530	0.4
ENST00000498261.1	ENSG00000120217.14	CD274	704	0.447
ENST00000661858.11	ENSG00000286162.2	AL162253.2	1987	0.405
ENST00000545243.1	ENSG00000107036.12	RIC1	2599	0.44
ENST00000475005.1	ENSG00000099219.14	ERMP1	1219	0.522
ENST00000540714.1	ENSG00000183354.12	KIAA2026	4346	0.409
ENST00000381471.1	ENSG00000120215.10	MLANA	1000	0.457
ENST00000485372.1	ENSG00000137040.10	RANBP6	1000	0.415
ENST00000463336.1	ENSG00000137033.11	IL33	636	0.324
ENST00000381428.1	ENSG00000170777.10	TPD52L3	1321	0.441
ENST00000492853.1	ENSG00000147854.17	UHRF2	2859	0.397
ENST00000639364.1	ENSG00000178445.10	GLDC	3298	0.485
ENST00000664463.11	ENSG00000229611.2	LINC02851	511	0.595
ENST00000666851.11	ENSG00000225489.7	AL354707.1	1214	0.512
ENST00000496464.1	ENSG00000107077.19	KDM4C	697	0.439
ENST00000484082.1	ENSG00000137038.8	DMAC1	547	0.397
ENST00000668681.11	ENSG00000231902.2	AL135923.2	794	0.401
ENST00000651105.1	ENSG00000153707.17	PTPRD	8740	0.415
ENST00000665783.1	ENSG00000225706.2	PTPRD-AS1	4188	0.39
ENST00000663621.1	ENSG00000224935.2	AL589678.1	649	0.341
ENST00000473504.1	ENSG00000107165.13	TYRP1	791	0.336
ENST00000671522.1	ENSG00000235448.3	LURAP1L-AS1	1295	0.394
ENST00000489107.1	ENSG00000153714.6	LURAP1L	739	0.475
ENST00000666564.1	ENSG00000285637.2	AL161449.2	3533	0.401
ENST00000535169.1	ENSG00000107186.16	MPDZ	796	0.454
ENST00000664575.11	ENSG00000226197.3	AL583785.1	1289	0.41
ENST00000663740.1	ENSG00000270547.6	LINC01235	1462	0.421
ENST00000673752.1	ENSG00000288556.1	AL158157.1	1261	0.4
ENST00000646622.1	ENSG00000147862.17	NFIB	2371	0.451
ENST00000671131.11	ENSG00000225472.2	AL136366.1	1612	0.382
ENST00000497966.1	ENSG00000175893.11	ZDHHC21	482	0.425
ENST00000486223.1	ENSG00000164946.19	FREM1	815	0.437
ENST00000652088.1	ENSG00000232000.3	CLCN3P1	7242	0.4
ENST00000380853.1	ENSG00000155158.20	TTC39B	1326	0.382
ENST00000380799.1	ENSG00000164975.15	SNAPC3	753	0.344
ENST00000484265.1	ENSG00000164985.15	PSIP1	2065	0.434
ENST00000432954.1	ENSG00000164989.17	CCDC171	2181	0.33
ENST00000648575.1	ENSG00000205549.10	C9orf92	392	0.51
ENST00000617779.1	ENSG00000173068.18	BNC2	687	0.413
ENST00000649821.1	ENSG00000237153.4	AL162725.2	2152	0.327
ENST00000673812.1	ENSG00000285169.2	AL358117.1	881	0.427
ENST00000484374.11	ENSG00000044459.15	CNTLN	2272	0.414
ENST00000467085.1	ENSG00000107295.10	SH3GL2	282	0.645
ENST00000546040.1	ENSG00000178031.17	ADAMTSL1	870	0.503
ENST00000649457.11	ENSG00000155875.15	SAXO1	8643	0.45
ENST00000415524.1	ENSG00000147874.11	HAUS6	680	0.376
ENST00000494753.1	ENSG00000147872.10	PLIN2	1716	0.456
ENST00000380424.1	ENSG00000137145.20	DENND4C	1547	0.39
ENST00000498815.1	ENSG00000137154.13	RPS6	480	0.383
ENST00000438342.1	ENSG00000231909.7	MAP1LC3BP1	516	0.566
ENST00000286344.3	ENSG00000155886.11	SLC24A2	2170	0.481
ENST00000475957.1	ENSG00000171843.17	MLLT3	2059	0.437
ENST00000604828.1	ENSG00000188352.12	FOCAD	1973	0.329
ENST00000439876.11	ENSG00000227071.1	FOCAD-AS1	359	0.485
ENST00000488436.1	ENSG00000188921.14	HACD4	1126	0.381
ENST00000380210.11	ENSG00000120235.4	IFNA6	1544	0.375
ENST00000610660.1	ENSG00000233816.3	IFNA13	1539	0.37
ENST00000654736.11	ENSG00000171889.5	MIR31HG	2557	0.451
ENST00000616982.1	ENSG00000099810.21	MTAP	2350	0.437
ENST00000579755.1	ENSG00000147889.17	CDKN2A	1283	0.614
ENST00000652420.1	ENSG00000240498.9	CDKN2B-AS1	7173	0.374
ENST00000579591.1	ENSG00000147883.12	CDKN2B	1069	0.584
ENST00000436786.11	ENSG00000234840.2	LINC01239	2347	0.412
ENST00000664493.1	ENSG00000284418.2	AL391117.1	1575	0.412
ENST00000423281.1	ENSG00000107105.15	ELAVL2	777	0.466
ENST00000418122.1	ENSG00000205442.13	IZUMO3	381	0.423
ENST00000649380.11	ENSG00000269957.6	AL353811.1	768	0.383
ENST00000654259.1	ENSG00000236306.3	LINC01241	1303	0.429
ENST00000650615.1	ENSG00000120159.13	CAAP1	2952	0.377
ENST00000523212.1	ENSG00000137055.15	PLAA	730	0.449
ENST00000648373.1	ENSG00000096872.16	IFT74	2432	0.412
ENST00000482770.1	ENSG00000184434.8	LRRC19	406	0.345
ENST00000519080.1	ENSG00000120156.22	TEK	1543	0.476
ENST00000640190.1	ENSG00000283945.1	LINC00032	2913	0.447
ENST00000484994.1	ENSG00000120160.11	EQTN	383	0.337
ENST00000603061.1	ENSG00000120162.10	MOB3B	836	0.502
ENST00000645861.1	ENSG00000285103.2	AL451123.1	8600	0.422
ENST00000644136.1	ENSG00000147894.17	C9orf72	2678	0.386
ENST00000493941.1	ENSG00000174482.10	LINGO2	498	0.418
ENST00000541043.51	ENSG00000122729.19	ACO1	3618	0.48
ENST00000379883.31	ENSG00000107201.10	DDX58	4628	0.399
ENST00000379858.1	ENSG00000197579.8	TOPORS	3621	0.391
ENST00000425533.1	ENSG00000235453.10	SMIM27	903	0.568
ENST00000350021.2	ENSG00000165264.11	NDUFB6	666	0.419
ENST00000672519.1	ENSG00000137074.20	APTX	4256	0.462
ENST00000465677.1	ENSG00000086061.16	DNAJA1	505	0.416
ENST00000379731.5	ENSG00000086062.13	B4GALT1	4176	0.507
ENST00000654325.11	ENSG00000233554.6	B4GALT1-AS1	3752	0.438
ENST00000379721.4	ENSG00000122711.9	SPINK4	399	0.539
ENST00000468274.1	ENSG00000107262.25	BAG1	935	0.44
ENST00000487080.1	ENSG00000086065.14	CHMP5	576	0.384
ENST00000463421.1	ENSG00000086102.19	NFX1	987	0.511
ENST00000624095.1	ENSG00000165269.13	AQP7	875	0.573
ENST00000661480.11	ENSG00000286322.1	AL356218.2	985	0.558
ENST00000493581.11	ENSG00000165272.16	AQP3	2911	0.572
ENST00000496319.2	ENSG00000165271.17	NOL6	759	0.544
ENST00000484634.1	ENSG00000230453.9	ANKRD18B	536	0.397
ENST00000669639.1	ENSG00000226562.4	CYP4F26P	1381	0.523
ENST00000532280.11	ENSG00000237984.3	PTENP1	3996	0.42
ENST00000667245.11	ENSG00000281128.2	PTENP1-AS	3941	0.404
ENST00000422764.1	ENSG00000233776.5	LINC01251	399	0.444
ENST00000495682.1	ENSG00000010438.16	PRSS3	608	0.556
ENST00000668091.1	ENSG00000235481.3	UBE2R2-AS1	2217	0.45
ENST00000459988.1	ENSG00000137073.23	UBAP2	2628	0.387
ENST00000463286.1	ENSG00000198876.13	DCAF12	682	0.488
ENST00000359544.2	ENSG00000165006.14	UBAP1	2535	0.486
ENST00000402558.61	ENSG00000186638.16	KIF24	6131	0.495
ENST00000618590.1	ENSG00000164978.18	NUDT2	825	0.512
ENST00000379142.3	ENSG00000164976.9	MYORG	480	0.656
ENST00000379127.1	ENSG00000164972.13	C9orf24	596	0.599
ENST00000651358.1	ENSG00000164970.15	FAM219A	3645	0.584
ENST00000488369.1	ENSG00000122735.16	DNAI1	932	0.49
ENST00000417345.2	ENSG00000122756.15	CNTFR	921	0.6
ENST00000656721.11	ENSG00000237159.6	CNTFR-AS1	1657	0.546
ENST00000297613.41	ENSG00000164967.10	RPP25L	1092	0.593
ENST00000472074.1	ENSG00000137100.16	DCTN3	542	0.517
ENST00000461426.1	ENSG00000147955.17	SIGMAR1	939	0.674
ENST00000485531.1	ENSG00000213930.12	GALT	1201	0.569
ENST00000478308.1	ENSG00000137070.18	IL11RA	588	0.59
ENST00000557161.11	ENSG00000213927.4	CCL27	879	0.514
ENST00000555007.1	ENSG00000187186.15	AL162231.1	351	0.689
ENST00000654838.11	ENSG00000230074.3	AL162231.2	1410	0.478
ENST00000485502.1	ENSG00000172724.12	CCL19	481	0.582
ENST00000378792.1	ENSG00000137077.8	CCL21	599	0.599
ENST00000378786.1	ENSG00000257198.6	FAM205BP	406	0.463
ENST00000603592.1	ENSG00000187791.13	FAM205C	468	0.455
ENST00000440503.1	ENSG00000122733.12	PHF24	668	0.534
ENST00000539059.1	ENSG00000137094.15	DNAJB5	683	0.556
ENST00000534880.1	ENSG00000174038.13	C9orf131	579	0.447
ENST00000480327.1	ENSG00000165280.16	VCP	884	0.503
ENST00000448890.1	ENSG00000221829.10	FANCG	868	0.611
ENST00000474436.1	ENSG00000165282.14	PIGO	6655	0.542
ENST00000488050.1	ENSG00000165283.16	STOML2	904	0.527
ENST00000378557.1	ENSG00000005238.20	FAM214B	3070	0.587
ENST00000635942.1	ENSG00000198722.14	UNC13B	14550	0.446
ENST00000650605.1	ENSG00000179766.19	ATP8B5P	1692	0.452
ENST00000455600.1	ENSG00000198853.12	RUSC2	5636	0.605
ENST00000447837.1	ENSG00000215187.12	FAM166B	889	0.567
ENST00000463897.1	ENSG00000107140.16	TESK1	600	0.572
ENST00000482121.1	ENSG00000137101.13	CD72	567	0.64
ENST00000618781.1	ENSG00000137078.9	SIT1	1317	0.591
ENST00000421582.2	ENSG00000159884.12	CCDC107	1324	0.584
ENST00000468876.1	ENSG00000137135.18	ARHGEF39	739	0.553
ENST00000617161.11	ENSG00000107159.13	CA9	1374	0.6
ENST00000643485.1	ENSG00000198467.16	TPM2	1580	0.553
ENST00000465002.1	ENSG00000137076.21	TLN1	543	0.6
ENST00000486056.11	ENSG00000107175.12	CREB3	1496	0.561
ENST00000378088.1	ENSG00000070610.14	GBA2	1672	0.534
ENST00000496906.1	ENSG00000107185.10	RGP1	1586	0.569
ENST00000414286.1	ENSG00000215183.5	MSMP	515	0.577
ENST00000658413.1	ENSG00000227388.3	AL133410.1	3518	0.451
ENST00000469249.1	ENSG00000159899.15	NPR2	601	0.512
ENST00000497810.1	ENSG00000137098.14	SPAG8	1553	0.56
ENST00000461169.1	ENSG00000137133.11	HINT2	734	0.568
ENST00000650015.1	ENSG00000137103.20	TMEM8B	3441	0.591
ENST00000472182.1	ENSG00000204930.10	FAM221B	719	0.545
ENST00000638062.1	ENSG00000235387.5	SPAAR	1557	0.559
ENST00000647905.11	ENSG00000228307.2	OR2S1P	1859	0.507
ENST00000479053.1	ENSG00000122707.12	RECK	1717	0.443
ENST00000474050.1	ENSG00000122694.16	GLIPR2	2702	0.504
ENST00000493185.2	ENSG00000122705.17	CLTA	714	0.513
ENST00000644762.1	ENSG00000159921.18	GNE	527	0.56
ENST00000484621.1	ENSG00000137075.18	RNF38	667	0.598
ENST00000480021.1	ENSG00000165304.8	MELK	460	0.413
ENST00000656722.1	ENSG00000288571.1	AL442063.1	2122	0.493
ENST00000670495.11	ENSG00000287514.2	AL450267.2	3350	0.502
ENST00000651550.1	ENSG00000196092.14	PAX5	8523	0.541
ENST00000654889.1	ENSG00000281649.2	EBLN3P	7911	0.394
ENST00000669016.1	ENSG00000233242.3	AL512604.2	1435	0.448
ENST00000496099.1	ENSG00000147905.18	ZCCHC7	721	0.42
ENST00000497693.1	ENSG00000137106.18	GRHPR	4762	0.549
ENST00000377792.3	ENSG00000137054.16	POLR1E	2229	0.511
ENST00000541607.1	ENSG00000147912.13	FBXO10	498	0.635
ENST00000541804.1	ENSG00000256966.6	AL513165.2	1514	0.543
ENST00000540941.11	ENSG00000175768.13	TOMM5	3071	0.41
ENST00000359927.3	ENSG00000070601.10	FRMPD1	499	0.505
ENST00000509577.2	ENSG00000165275.10	TRMT10B	547	0.453
ENST00000496910.1	ENSG00000107371.13	EXOSC3	217	0.424
ENST00000461549.1	ENSG00000122741.16	DCAF10	816	0.442
ENST00000496760.51	ENSG00000122696.14	SLC25A51	1871	0.509
ENST00000635162.1	ENSG00000137124.8	ALDH1B1	584	0.628
ENST00000637760.11	ENSG00000283162.1	AL390726.5	1654	0.453
ENST00000564800.1	ENSG00000273036.3	AL390726.4	256	0.547
ENST00000625242.11	ENSG00000283486.2	FAM95C	2665	0.557
ENST00000565670.11	ENSG00000225345.3	SNX18P3	1750	0.445
ENST00000475234.1	ENSG00000180071.20	ANKRD18A	279	0.473
ENST00000667135.1	ENSG00000204860.5	FAM201A	3072	0.436
ENST00000642095.1	ENSG00000284612.1	AL591543.1	4149	0.389
ENST00000637493.11	ENSG00000283329.1	FAM240B	1160	0.46
ENST00000377659.1	ENSG00000106714.17	CNTNAP3	2649	0.534
ENST00000473440.1	ENSG00000204849.10	SPATA31A1	785	0.597
ENST00000615174.11	ENSG00000277024.1	BX005214.3	1988	0.532
ENST00000597685.1	ENSG00000215112.6	FAM74A1	381	0.496
ENST00000615961.11	ENSG00000198416.9	ZNF658B	3375	0.396
ENST00000665892.1	ENSG00000278175.4	GLIDR	2993	0.395
ENST00000640486.1	ENSG00000204837.5	FGF7P3	1739	0.375
ENST00000673925.11	ENSG00000183148.7	ANKRD20A2P	3511	0.379
ENST00000659103.1	ENSG00000240240.9	BX664727.3	3952	0.41
ENST00000592873.1	ENSG00000223839.8	FAM95B1	4692	0.506
ENST00000636189.1	ENSG00000184906.11	AMYH02020865.1	261	0.479
ENST00000613429.11	ENSG00000275390.1	AL353626.1	507	0.43
ENST00000617940.2	ENSG00000276291.5	FRG1HP	757	0.386
ENST00000613141.11	ENSG00000277778.2	PGM5P2	1980	0.512
ENST00000458364.2	ENSG00000225655.5	BX255923.1	536	0.414
ENST00000669967.1	ENSG00000276462.2	BX255923.2	3308	0.482
ENST00000617933.1	ENSG00000215126.10	CBWD6	721	0.505
ENST00000633881.11	ENSG00000279561.2	AL845472.1	4082	0.423
ENST00000663712.11	ENSG00000276832.2	AL354718.3	1092	0.596
ENST00000615199.1	ENSG00000275239.4	FAM242F	719	0.519
ENST00000612900.1	ENSG00000275297.1	AL162731.1	1407	0.498
ENST00000467854.1	ENSG00000154529.15	CNTNAP3B	1238	0.47
ENST00000496386.1	ENSG00000185775.10	SPATA31A6	769	0.599
ENST00000435586.11	ENSG00000237357.2	BX088651.4	2579	0.48
ENST00000652898.1	ENSG00000287276.1	BX664718.2	3426	0.429
ENST00000668653.1	ENSG00000236816.3	ANKRD20A7P	3672	0.364
ENST00000666773.1	ENSG00000276128.2	AL591441.1	3496	0.385
ENST00000666774.11	ENSG00000286506.1	FP325317.2	1603	0.517
ENST00000611916.11	ENSG00000275628.2	AL590491.1	1988	0.532
ENST00000612305.11	ENSG00000274516.2	FAM74A6	1718	0.419
ENST00000670022.1	ENSG00000276422.2	AL590491.2	1418	0.374
ENST00000619167.11	ENSG00000276040.4	SPATA31A7	4256	0.519
ENST00000621724.11	ENSG00000274583.1	FAM74A4	1862	0.419
ENST00000377548.21	ENSG00000204814.5	AL935212.1	906	0.48
ENST00000671566.1	ENSG00000231527.7	FAM27C	3444	0.45
ENST00000441101.11	ENSG00000229697.2	FAM242E	719	0.52
ENST00000438072.11	ENSG00000231212.1	AL590399.3	543	0.413
ENST00000429818.1	ENSG00000204802.3	AL590399.1	1480	0.458
ENST00000452826.2	ENSG00000227449.8	FGF7P6	1807	0.383
ENST00000428440.1	ENSG00000232827.3	LINC01189	3321	0.342
ENST00000450704.11	ENSG00000226007.3	BX005266.2	1549	0.463
ENST00000659835.1	ENSG00000238113.7	LINC01410	2129	0.366
ENST00000650319.11	ENSG00000184523.4	PTGER4P2	526	0.529
ENST00000662817.1	ENSG00000234665.9	LERFS	1969	0.528
ENST00000435875.11	ENSG00000227582.2	ADGRF5P1	1135	0.498
ENST00000661415.1	ENSG00000170161.7	AL512625.1	1604	0.47
ENST00000613489.1	ENSG00000182021.10	AL591379.1	872	0.495
ENST00000647845.11	ENSG00000237238.3	BMS1P10	1594	0.443
ENST00000432011.2	ENSG00000228522.2	AL845321.1	786	0.476
ENST00000650308.1	ENSG00000225411.3	CR786580.1	1585	0.392
ENST00000615302.1	ENSG00000172014.12	ANKRD20A4P	520	0.544
ENST00000452436.3	ENSG00000176134.5	AL445665.1	324	0.472
ENST00000668340.11	ENSG00000287988.1	FO082814.1	1179	0.499
ENST00000588215.11	ENSG00000236252.2	AL512605.1	1263	0.447
ENST00000463075.1	ENSG00000147996.16	CBWD5	722	0.341
ENST00000623812.1	ENSG00000279955.3	AC129778.1	261	0.479
ENST00000613576.1	ENSG00000275026.1	GXYLT1P4	1192	0.423
ENST00000618309.1	ENSG00000274628.5	AL669942.1	4692	0.506
ENST00000612247.11	ENSG00000276203.5	ANKRD20A3P	5567	0.333
ENST00000619435.1	ENSG00000274349.4	ZNF658	698	0.593
ENST00000661838.1	ENSG00000277350.2	AL353770.4	1386	0.372
ENST00000652170.11	ENSG00000260691.6	ANKRD20A1	2662	0.443
ENST00000614377.1	ENSG00000196873.16	CBWD3	2994	0.306
ENST00000414223.4	ENSG00000234394.8	AL353608.3	3372	0.484
ENST00000496758.1	ENSG00000154330.13	PGM5	4032	0.434
ENST00000671372.11	ENSG00000224958.6	PGM5-AS1	2187	0.425
ENST00000592778.1	ENSG00000233178.7	AL161457.2	802	0.436
ENST00000446290.1	ENSG00000234506.5	LINC01506	338	0.456
ENST00000474356.1	ENSG00000107242.20	PIP5K1B	776	0.451
ENST00000645088.1	ENSG00000285130.2	AL358113.1	6106	0.513
ENST00000644653.11	ENSG00000165060.15	FXN	2632	0.446
ENST00000649943.1	ENSG00000119139.21	TJP2	5672	0.506
ENST00000624238.2	ENSG00000278910.4	BANCR	750	0.428
ENST00000645123.1	ENSG00000135063.19	FAM189A2	4596	0.445
ENST00000628769.1	ENSG00000107282.8	APBA1	4850	0.432
ENST00000467511.1	ENSG00000188647.13	PTAR1	530	0.455
ENST00000662063.11	ENSG00000225626.4	C9orf135-DT	2002	0.401
ENST00000480564.1	ENSG00000204711.9	C9orf135	550	0.442
ENST00000626263.1	ENSG00000204706.14	MAMDC2-AS1	537	0.415
ENST00000460688.1	ENSG00000165072.10	MAMDC2	485	0.425
ENST00000594708.11	ENSG00000268364.2	SMC5-AS1	1818	0.474
ENST00000471372.1	ENSG00000198887.9	SMC5	910	0.363
ENST00000377097.3	ENSG00000083067.22	TRPM3	554	0.466
ENST00000538669.1	ENSG00000135048.14	CEMIP2	3509	0.404
ENST00000377041.61	ENSG00000107362.14	ABHD17B	1312	0.482
ENST00000479413.11	ENSG00000155621.15	C9orf85	902	0.478
ENST00000652156.1	ENSG00000204669.11	C9orf57	1640	0.411
ENST00000477618.1	ENSG00000119125.17	GDA	2359	0.454
ENST00000436054.1	ENSG00000225434.3	LINC01504	2078	0.423
ENST00000487330.1	ENSG00000107372.13	ZFAND5	631	0.58
ENST00000651183.1	ENSG00000165091.18	TMC1	4707	0.419
ENST00000658474.11	ENSG00000236849.6	LINC01474	1259	0.419
ENST00000446946.1	ENSG00000165092.13	ALDH1A1	805	0.452
ENST00000376911.1	ENSG00000135046.14	ANXA1	2209	0.393
ENST00000667966.1	ENSG00000286840.1	AL451127.2	629	0.372
ENST00000669866.11	ENSG00000227809.2	AL355674.1	1297	0.443
ENST00000396204.2	ENSG00000198963.11	RORB	2996	0.396
ENST00000483186.1	ENSG00000119121.22	TRPM6	597	0.487
ENST00000451153.1	ENSG00000156017.13	CARNMT1	715	0.396
ENST00000494066.1	ENSG00000106733.21	NMRK1	1903	0.408
ENST00000674117.1	ENSG00000099139.14	PCSK5	10226	0.49
ENST00000490113.1	ENSG00000135002.12	RFK	2386	0.334
ENST00000648797.1	ENSG00000187210.14	GCNT1	2929	0.438
ENST00000424866.1	ENSG00000106772.18	PRUNE2	903	0.434
ENST00000412654.1	ENSG00000225937.3	PCA3	3922	0.403
ENST00000645632.1	ENSG00000197969.14	VPS13A	10086	0.375
ENST00000464095.1	ENSG00000156049.7	GNA14	694	0.474
ENST00000411677.1	ENSG00000156052.11	GNAQ	551	0.474
ENST00000645865.1	ENSG00000148019.14	CEP78	5089	0.437
ENST00000376588.41	ENSG00000135069.14	PSAT1	2206	0.425
ENST00000566873.1	ENSG00000260995.3	AL512634.1	2432	0.384
ENST00000665514.1	ENSG00000233086.8	LNCARSR	1012	0.419
ENST00000417836.1	ENSG00000106829.20	TLE4	632	0.533
ENST00000464999.1	ENSG00000196781.16	TLE1	628	0.532
ENST00000437181.11	ENSG00000233926.1	AL591368.1	1449	0.499
ENST00000376459.3	ENSG00000240632.6	SPATA31D5P	4784	0.468
ENST00000592744.1	ENSG00000267559.5	AL158154.3	567	0.46
ENST00000637606.11	ENSG00000228430.9	AL162726.3	1301	0.469
ENST00000603921.1	ENSG00000214929.4	SPATA31D1	588	0.481
ENST00000376447.41	ENSG00000165105.10	RASEF	5585	0.43
ENST00000662757.11	ENSG00000229109.2	AL137847.1	4611	0.36
ENST00000431299.1	ENSG00000172159.16	FRMD3	662	0.429
ENST00000649946.11	ENSG00000237529.2	AL137847.2	1099	0.581
ENST00000533522.1	ENSG00000148057.16	IDNK	1623	0.49
ENST00000527373.1	ENSG00000135018.14	UBQLN1	562	0.431
ENST00000531661.1	ENSG00000254473.1	AL354920.1	1017	0.468
ENST00000376362.1	ENSG00000165113.13	GKAP1	1237	0.314
ENST00000667208.1	ENSG00000226877.9	AL354733.1	1191	0.426
ENST00000653678.1	ENSG00000231616.9	AL354733.2	1835	0.392
ENST00000376347.1	ENSG00000165115.15	KIF27	1030	0.377
ENST00000376340.2	ENSG00000165118.15	C9orf64	620	0.487
ENST00000483135.1	ENSG00000165119.21	HNRNPK	900	0.392
ENST00000445877.6	ENSG00000178966.17	RMI1	3300	0.349
ENST00000658503.11	ENSG00000227463.3	AL390838.1	1978	0.405
ENST00000495823.1	ENSG00000197506.8	SLC28A3	514	0.459
ENST00000359847.3	ENSG00000148053.16	NTRK2	6646	0.427
ENST00000662737.1	ENSG00000285634.2	AL583827.1	4264	0.446
ENST00000628899.1	ENSG00000135049.16	AGTPBP1	4222	0.403
ENST00000657430.11	ENSG00000230303.6	AL353743.2	4190	0.446
ENST00000637846.11	ENSG00000165121.11	AL353743.1	1769	0.445
ENST00000376040.2	ENSG00000135040.16	NAA35	1797	0.461
ENST00000464314.1	ENSG00000135052.16	GOLM1	697	0.547
ENST00000649213.1	ENSG00000187753.13	C9orf153	1524	0.448
ENST00000637705.1	ENSG00000135070.15	ISCA1	459	0.418
ENST00000469004.1	ENSG00000083223.18	TUT7	625	0.411
ENST00000660690.11	ENSG00000235819.2	AL158828.1	839	0.411
ENST00000674154.11	ENSG00000288575.1	AL159996.1	2719	0.466
ENST00000415801.1	ENSG00000226237.2	GAS1RR	4387	0.349
ENST00000669870.1	ENSG00000269994.3	AL513318.2	2245	0.45
ENST00000466188.1	ENSG00000196730.13	DAPK1	1064	0.476
ENST00000495822.1	ENSG00000135047.15	CTSL	988	0.465
ENST00000354530.2	ENSG00000188029.8	CTSL3P	657	0.492
ENST00000415441.1	ENSG00000237743.3	FBP2P1	235	0.472
ENST00000647565.1	ENSG00000214888.3	AL772337.1	1497	0.577
ENST00000646412.11	ENSG00000234460.2	AL772337.3	644	0.444
ENST00000420021.2	ENSG00000230246.7	SPATA31C1	3895	0.54
ENST00000603475.1	ENSG00000156345.18	CDK20	5503	0.556
ENST00000675441.11	ENSG00000177910.8	SPATA31C2	3761	0.531
ENST00000660864.11	ENSG00000287769.1	AL353748.3	3329	0.491
ENST00000483785.1	ENSG00000106723.17	SPIN1	659	0.454
ENST00000649870.11	ENSG00000130045.16	NXNL2	994	0.533
ENST00000657830.1	ENSG00000228189.5	LINC02843	2329	0.453
ENST00000648341.11	ENSG00000213694.6	S1PR3	4837	0.474
ENST00000375831.1	ENSG00000148082.10	SHC3	569	0.541
ENST00000429700.1	ENSG00000224945.1	AL353150.1	585	0.496
ENST00000470305.1	ENSG00000187742.15	SECISBP2	5405	0.414
ENST00000544513.1	ENSG00000187764.11	SEMA4D	599	0.541
ENST00000648620.11	ENSG00000285907.1	AL161910.1	2724	0.488
ENST00000375769.1	ENSG00000130222.11	GADD45G	977	0.676
ENST00000617436.11	ENSG00000237372.4	UNQ6494	2163	0.517
ENST00000661900.11	ENSG00000236507.2	BX470209.2	3727	0.5
ENST00000671506.1	ENSG00000237626.2	AL161629.1	1910	0.443
ENST00000659218.11	ENSG00000231107.2	LINC01508	1170	0.458
ENST00000668156.1	ENSG00000229613.2	LINC01501	2000	0.495
ENST00000637905.1	ENSG00000165023.7	DIRAS2	576	0.556
ENST00000375746.1	ENSG00000165025.15	SYK	4990	0.499
ENST00000653201.1	ENSG00000260454.2	AL355607.2	1462	0.44
ENST00000663149.11	ENSG00000237422.2	AL158071.3	2393	0.491
ENST00000658132.1	ENSG00000230537.2	AL158071.2	1801	0.406
ENST00000668856.11	ENSG00000229694.7	LINC00484	903	0.43
ENST00000659376.1	ENSG00000235641.5	LINC00484	3990	0.512
ENST00000475023.1	ENSG00000148090.12	AUH	641	0.392
ENST00000546883.1	ENSG00000169071.15	ROR2	501	0.555
ENST00000646534.1	ENSG00000090054.15	SPTLC1	2982	0.398
ENST00000434944.1	ENSG00000225511.7	LINC00475	796	0.456
ENST00000672321.1	ENSG00000276717.2	PRSS47	477	0.516
ENST00000474340.1	ENSG00000196305.18	IARS1	1748	0.427
ENST00000467230.1	ENSG00000198000.12	NOL8	780	0.373
